    3    0    0    1    1    1    3    1  0:Zelte
    1    1    3    1    1    1    1    1  1:kleines Haus
    1    2    4    1    1    1    1    1  2:mittleres Haus
    1    3    5    1    1    1    1    1  3:Eisstand
    1    4    6    1    1    1    1    1  4:Hot Dog Stand
    1    5    7    1    1    1    1    1  5:Cocktails
    1    6    8    1    1    1    1    1  6:Bolzplatz
    1    7    9    1    1    1    1    1  7:Tennisplatz
    1    8   10    1    1    1    1    1  8:Park 1A
    1    9   11    1    1    1    1    1  9:Pool
    1   10   12    1    1    1    1    1  10:Fahrradverleih
    4   11  101    1    1    1    4    1  11:Brücken
   10   12  605    1    1    1   10    0  12:Palmen
    1   14   13    2    1    2    2    2  13:großes Haus  a
    1   13   15    1    2    2    2    2  14:großes Haus  b
    1   16   17    2    1    2    2    2  15:kleine Villa  a
    1   15   19    1    2    2    2    2  16:kleine Villa  b
    1   17   21    2    2    4    4    4  17:mittlere Villa
    1   18   25    2    2    4    4    4  18:große Villa
    1   19   29    1    1    1    1    1  19:Palmbar
    1   20   30    1    1    1    1    1  20:Haifischbar
    2   21   31    1    1    1    2    1  21:Kiosk
    1   22   83    1    1    1    1    1  22:Laden
    1   23   33    1    1    1    1    1  23:Hubschrauberlandeplatz
    1   24   34    1    1    1    1    1  24:Strandkörbe
    1   25   35    2    2    4    4    4  25:Wc Donalds
    1   26   39    2    2    4    4    4  26:Jeepverleih
    1   27   43    2    2    4    4    4  27:Autosalon
    1   28   47    2    2    4    4    4  28:Müllkippe
    1   29   63    2    2    4    4    4  29:Osterinsel
    1   30   67    2    2    4    4    4  30:Stonehenge
    3   31   71    1    1    1    3    1  31:Baustelle
    1   32   74    2    2    4    4    4  32:Kraftwerk
    1   33   78    2    2    4    4    4  33:Kläranlage
    1   34   82    1    1    1    1    1  34:Bay Watch Turm
    1   35  432    2    2    4    4    4  35:Freiheitsstatue
   10   36   84    1    1    1   10    1  36:Strandleben
    1   37  124    2    2    4    4    4  37:Schiefer Turm von Pisa
    1   38  105    3    3    9    9    9  38:Hotel 1
    1   39  114    3    3    9    9    9  39:Hotel 2
    1   41   95    3    2    6    6   15  40:kleiner oller Flughafen NW-SO
    1   40  128    2    3    6    6   15  41:kleiner oller Flughafen NO-SW
    1   43  134    4    3   12   12   15  42:gr. oller Flughafen NW-SO
    1   42  146    3    4   12   12   15  43:gr. oller Flughafen NW-SO
    1   45  158    4    2    8    8   15  44:kleiner normaler Flughafen NW-SO
    1   44  166    2    4    8    8   15  45:kleiner normaler Flughafen NO-SW
    1   47  174    6    3   18   18   15  46:gr. normaler Flughafen NW-SO
    1   46  192    3    6   18   18   15  47:gr. normaler Flughafen NW-SO
    1   49  210    5    3   15   15   15  48:kleiner toller Flughafen NW-SO
    1   48  225    3    5   15   15   15  49:kleiner toller Flughafen NO-SW
    1   51  240    7    5   35   35   15  50:gr. toller Flughafen NW-SO
    1   50  275    5    7   35   35   15  51:gr. toller Flughafen NW-SO
    6   52  310    1    1    1    6    7  52:MeeresBrücken
    1   53  316    2    2    4    4    4  53:Zweitschlechtestes Hotel
    1   54  320    2    2    4    4    4  54:Schlechtestes Hotel
    1   55  324    3    3    9    9    9  55:Lila Hotel
    1   56  333    4    4   16   16    2  56:Kings Hotel
    1   57  349    1    1    1    1    1  57:Juwelier
    1   58  350    1    1    1    1    1  58:Beachvolleyball
    2   59  351    1    1    1    2    1  59:Stand auf Rasen
    1   60  419    3    3    9    9    9  60:Eifelturm
    1   61  353    2    2    4    4    4  61:Rundes Restaurant
    1   62  357    2    2    4    4    4  62:Gourmettempel
    1   63  361    2    2    4    4    4  63:Supermarkt
    1   64  365    2    2    4    4    4  64:Badeanstalt
    1   65  369    2    2    4    4    4  65:Minigolf
    1   66  373    3    3    9    9    9  66:Club Maritime
    1   67  382    3    3    9    9    9  67:Club Jungle
    1   68  391    3    3    9    9    9  68:Big Store
    1   69  400    3    3    9    9    9  69:Zoo
    1   70  409    3    3    9    9    9  70:Wasserpark
    1   71  418    1    1    1    1    1  71:Champagnerbar
    1   72   51    2    2    4    4    4  72:Spielhalle
    1   73   55    2    2    4    4    4  73:Casino
    1   74   59    2    2    4    4    4  74:Disco
    1   75  428    2    2    4    4    4  75:Theater
    1   76  494    1    1    1    1    1  76:Park 1B
    1   77  496    2    2    4    4    4  77:Park 2A
    1   78  500    2    2    4    4    4  78:Park 2B
    1   79  504    3    3    9    9    9  79:Park 3A
    1   80  513    3    3    9    9    9  80:Park 3B
    1   82  436    3    2    6    6   15  81:kleiner oller Flughafen NW-SO Rückansicht
    1   81  442    2    3    6    6   15  82:kleiner oller Flughafen NO-SW Rückansicht
    1   84  448    4    2    8    8   15  83:kleiner normaler Flughafen NW-SO Rückansicht
    1   83  456    2    4    8    8   15  84:kleiner normaler Flughafen NO-SW Rückansicht
    1   86  464    5    3   15   15   15  85:kleiner toller Flughafen NW-SO Rückansicht
    1   85  479    3    5   15   15   15  86:kleiner toller Flughafen NO-SW Rückansicht
    1   87  495    1    1    1    1    1  87:Park 1C
    1   88  522    2    1    2    2   15  88:Hafen 1 SO
    1   89  524    1    2    2    2   15  89:Hafen 1 NO
    1   90  526    2    1    2    2   15  90:Hafen 1 NW
    1   91  528    1    2    2    2   15  91:Hafen 1 SW
    1   92  530    2    1    2    2   15  92:Hafen 2 SO
    1   93  532    1    2    2    2   15  93:Hafen 2 NO
    1   94  534    2    1    2    2   15  94:Hafen 2 NW
    1   95  536    1    2    2    2   15  95:Hafen 2 SW
    1   96  538    2    2    4    4   15  96:Hafen 3 SO
    1   97  542    2    2    4    4   15  97:Hafen 3 NO
    1   98  546    2    2    4    4   15  98:Hafen 3 NW
    1   99  550    2    2    4    4   15  99:Hafen 3 SW
    1  100  554    2    2    4    4   15  100:Hafen 4 SO
    1  101  558    2    2    4    4   15  101:Hafen 4 NO
    1  102  562    2    2    4    4   15  102:Hafen 4 NW
