  0  0  2  3
  0  1  0  0
  0  0  2  3
  0  1  2  0
  0  1  2  3
  0  1  0  3 
  0  1  2  3 
  4  0  0  5 
  7  0  6  0 
  0  8  9  0 
  0 11  0 10 
 12 13  0  0 
  0  0 14 15 
 16 17  0  0 
  0  0 19 18 
  0  0  2  3 
  0  1  0  0 
  0  0  2  3
  0  1  2  0
  0  1  2  3
  0  1  0  3
  0  1  2  3 
  4  0  0  5 
  7  0  6  0 
  0  8  9  0 
  0 11  0 10
 12 13  0  0
  0  0 14 15 
 16 17  0  0 
  0  0 19 18 
  0  0  2  3 
  0  1  0  0 
  0  0  2  3
  0  1  2  0
  0  1  2  3
  0  1  0  3 
  0  1  2  3 
  4  0  0  5 
  7  0  6  0 
  0  8  9  0 
  0 11  0 10 
 12 13  0  0 
  0  0 14 15 
 16 17  0  0 
  0  0 19 18 
 22 23  0  0 
  0  0 21 20 
 22 23  0  0 
  0  0 21 20 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  1  0  0
  0  0  2  3
  0  1  0  0
  0  0  2  3
  0  1  0  0 
  0  0  2  3 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0 
  0  0  0  0

