    2    0 {Sand}
    2    2
    2    4
    2    6
    2    8
    2   10
    2   12
    2   14
    2   16
    2   18
    2   20
    2   22
    2   24
    2   26
    2   28
    2   30
    4   32
    2   36
    2   38
    2   40 {Gras}
    2   42
    2   44
    2   46
    2   48
    2   50
    2   52
    2   54
    2   56
    2   58
    2   60
    2   62
    2   64
    2   66
    2   68
    2   70
    4   72
    2   76
    2   78
    1   80 {Ozean und Wasser-Sand-Uebergaenge}
    1   81
    1   82
    1   83
    1   84
    1   85
    1   86
    1   87
    1   88
    1   89
    1   90
    1   91
    1   92
    1   93
    1   94
    1   95
    1   96
    1   97
    1   98
    1   99 {Uebergaenge Sand-Gras}
    1  100
    1  101
    1  102
    1  103
    1  104
    1  105
    1  106
    2  107
    2  109
    2  111
    2  113
    1  115
    1  116
    1  117
    1  118
    1  119
    1  120
    1  121
    1  122 {Drahtgitter weiss}
    1  123
    1  124
    1  125
    1  126
    1  127
    1  128
    1  129
    1  130
    1  131
    1  132
    1  133
    1  134
    1  135
    1  136
    1  137
    1  138
    1  139
    1  140

