   47   23    0         -schiene 0
   43   21    0
   39   19    0
   35   17    0
   31   15    0
   27   13    0
   23   11    0
   19    9    0
   31   31    1         -schiene 1
   31   29    1
   31   27    1
   31   25    1
   31   23    1
   31   21    1
   31   19    1
   31   17    1
   31   15    1
   31   13    1
   31   11    1
   31    9    1
   31    7    1
   31    5    1
   31    3    1
   31    1    1
   15   23    2         -schine 2
   19   21    2
   23   19    2
   27   17    2
   31   15    2
   35   13    2
   39   11    2
   43    9    2
   -1   15    3         -schiene 3
    3   15    3
    7   15    3
   11   15    3
   15   15    3
   19   15    3
   23   15    3
   27   15    3
   31   15    3
   35   15    3
   39   15    3
   43   15    3
   47   15    3
   51   15    3
   55   15    3
   59   15    3
   19    9    4         -schiene 4
   23   11    4
   27   13    4
   31   15    4
   35   17    4
   39   19    4
   43   21    4
   47   23    4
   31    1    5         -schiene 5
   31    3    5
   31    5    5
   31    7    5
   31    9    5
   31   11    5
   31   13    5
   31   15    5
   31   17    5
   31   19    5
   31   21    5
   31   23    5
   31   25    5
   31   27    5
   31   29    5
   31   31    5
   43    9    6         -schiene 6
   39   11    6
   35   13    6
   31   15    6
   27   17    6
   23   19    6
   19   21    6
   15   23    6
   59   15    7         -schiene 7
   55   15    7
   51   15    7
   47   15    7
   43   15    7
   39   15    7
   35   15    7
   31   15    7
   27   15    7
   23   15    7
   19   15    7
   15   15    7
   11   15    7
    7   15    7
    3   15    7
   -1   15    7
   47   23    0         - landeanflug von rechts unten
   43   21    0
   39   19    0
   35   17    0
   31   15    0
   27   13    0
   23   11    0
   19    9    0
   47   23    0         - wendeschiene  (Anflug von rechts unten)
   44   22    0
   42   21    0
   40   20    0
   38   19    0
   36   18    0
   34   17    0
   32   16    0
   30   15    0
   28   14    0
   28   14    7
   28   14    6
   28   14    5
   28   14    4
   31   15    4
   19    9    4         -starten nach rechts unten
   23   11    4
   27   13    4
   31   15    4
   35   17    4
   39   19    4
   43   21    4
   47   23    4
   15   23    2         - landeanflug von links unten
   19   21    2
   23   19    2
   27   17    2
   31   15    2
   35   13    2
   39   11    2
   43    9    2
   14   23    2         - wendeschiene  bei Anflug von links unten
   16   22    2
   18   21    2
   20   20    2
   22   19    2
   24   18    2
   26   17    2
   28   16    2
   30   15    2
   32   14    2
   32   14    3
   32   14    4
   32   14    5
   32   14    6
   31   15    6
   43    9    6         -starten nach links unten
   39   11    6
   35   13    6
   31   15    6
   27   17    6
   23   19    6
   19   21    6
   15   23    6
   47    7    6         - wendeschiene  (Anflug von rechts oben)
   44    8    6
   42    9    6
   40   10    6
   38   11    6
   36   12    6
   34   13    6
   32   14    6
   30   15    6
   28   16    6
   28   16    5
   28   16    4
   28   16    3
   28   16    2
   31   15    2
   14    7    4         - wendeschiene 40 links oben
   16    8    4
   18    9    4
   20   10    4
   22   11    4
   24   12    4
   26   13    4
   28   14    4
   30   15    4
   32   16    4
   32   16    5
   32   16    6
   32   16    7
   32   16    0
   31   15    0
   47   23    0         - absturz von rechts unten
   43   21    0
   39   19    0
   35   17    0
   31   15    0
   27   13    0
   23   11    0
   19    9    0
   15   23    2         - absturz von links unten
   19   21    2
   23   19    2
   27   17    2
   31   15    2
   35   13    2
   39   11    2
   43    9    2

