       800        80        16 kleiner Zeltplatz
      2100       210        80 einfache Hütte
      5100       510       128 kleiner Bungalow
      3000      1000      1500 Eis-Stand
      5000      1500      2200 Hot-Dog-Stand
      8000      9000     18000 Cocktailbar
       500       100       150 Bolzplatz
      1500       500       800 Tennisplatz
      1000        50        80 Park mit Wasser
      5000      1000      1500 Swimmingpool
     10000	4000      6000 Fahrrad-Verleih
         0         0         0 Brücke
        10         0         0 Palme
      8500       940       176 großer Bungalow
      8500       940       176 großer Bungalow
     25000      1850       280 kleine Villa
     25000      1850       280 kleine Villa
     50000      2900       360 Villa
    100000      4700       440 Luxusvilla
      8000      6000     10000 Palmbar
     10000      6000      9000 Haifischbar
      1500      800       1700 Kiosk
      8000      7500     11250 Laden
      2000      4200      6000 Hubschrauber-Landeplatz
       800       500      1500 Strandkörbe
     40000     20000     32000 Wc Donalds
     65000     30000     45000 Jeepverleih
    150000     40000     65000 Autosalon
     10000       500      1000 Müllkippe
         1      4000      8000 Osterinsel
         1      3000      6000 Stonehenge
         0         0         0 kleine Baustelle
     10000       500      1000 Kraftwerk
     10000       500      1000 Klaeranlage
      1500      1500      2000 BayWatch
         1     55000    110000 Freiheitsstatue
         0         0         0 Strandleben
         1     33000     66000 Schiefer Turm von Pisa
    200000     12800       160 Hotel1
    400000     26000       240 Hotel2
    100000      1600      2400 oller Flughafen
    100000      1600      2400 oller Flughafen
    200000      4800      7200 gr. oller Flughafen
    200000      4800      7200 gr. oller Flughafen
    400000     12800     19200 normaler Flughafen
    400000     12800     19200 normaler Flughafen
    600000     24000     36000 gr. normaler Flughafen
    600000     24000     36000 gr. normaler Flughafen
    900000     56000     84000 toller Flughafen
    900000     56000     84000 toller Flughafen
   1500000    216000    324000 gr. toller Flughafen
   1500000    216000    324000 gr. toller Flughafen
     10000         0         0 Meeresbruecken
    120000      9300       104 Zweitschlechtestes Hotel
     60000      3200        48 Schlechtestes Hotel
    800000     35000       336 Lila Hotel
   1600000     45000       440 Kings Hotel
     10000     12000     20000 Juwelier
      1000        60       160 Beachvolley
      1000       600       900 Stand
         1    100000    200000 Eifelturm
     60000     30000     45000 Funtaurant
    100000     48000     72000 Gourmettempel
     30000     10000     20000 Supermarkt
     10000      6000     10000 Freibad
     15000      5000     10000 Minigolf
    100000      5200       320 Club Maritim
    100000      6400       400 Jungle Club
     80000     35000     60000 Big Store
    200000     40000     80000 Zoo
     40000     15000     20000 Wasserpark
     50000     24000     36000 Champusbar
     10000      2000      4000 Spielhalle
     50000     20000     40000 Casino
     20000      6000     10000 Disco
     30000      9000     19000 Theater
      1000       100       140 Park 1B
      3000       300       400 Park 2A
      5000       500       650 Park 2B
      7000       800      1200 Park 3A
     10000      1500      3000 Park 3B
    100000      1600      2400 oller Flughafen
    100000      1600      2400 oller Flughafen
    400000     12800     19200 normaler Flughafen
    400000     12800     19200 normaler Flughafen
    700000     56000     84000 toller Flughafen
    700000     56000     84000 toller Flughafen
      1000        80       130 Park 1C
     10000       100       150 Hafen 1
     10000       100       150 Hafen 1
     10000       100       150 Hafen 1
     10000       100       150 Hafen 1
     20000       300       550 Hafen 2
     20000       300       550 Hafen 2
     20000       300       550 Hafen 2
     20000       300       550 Hafen 2
     40000       600      1200 Hafen 3
     40000       600      1200 Hafen 3
     40000       600      1200 Hafen 3
     40000       600      1200 Hafen 3
     80000      1200      2400 Hafen 4
     80000      1200      2400 Hafen 4
     80000      1200      2400 Hafen 4
     80000      1200      2400 Hafen 4
    120000      7000      10000 Hafen 5
    120000      7000      10000 Hafen 5
    120000      7000      10000 Hafen 5
    120000      7000      10000 Hafen 5
         1     70000    140000 Sphinx
      5000       150       250 Surf-Verleih
         1     17000     34000 Big Ben
         1       200         0 TennisWM leer
         0    500000   1000000 TennisWM voll
         1       100         0 SurfWM leer SO
         1       100         0 SurfWM leer NO
         1       100         0 SurfWM leer NW
         1       100         0 SurfWM leer SW
         0    120000    240000 SurfWM voll SO
         0    120000    240000 SurfWM voll NO
         0    120000    240000 SurfWM voll NW
         0    120000    240000 SurfWM voll SW
         1        50         0 MissHI leer SW
         1        50         0 MissHI leer SO
         0    100000    200000 MissHI voll SW
         0    100000    200000 MissHI voll SO
         1     40000     80000 Pyramide
         1     25000     50000 Brandenburger Tor
     10000        50        50 dummy
     10000        50        50 dummy

Preis      Kosten    Einnahmen
          (im Monat) (pro Kopf pro Monat bei Betten
                      sonst maximale Einnahmen im Monat)
