   47   23    0         -schiene 0
   45   22    0
   43   21    0
   41   20    0
   39   19    0
   37   18    0
   35   17    0
   33   16    0
   31   15    0
   29   14    0
   27   13    0
   25   12    0
   23   11    0
   21   10    0
   19    9    0
   17    8    0
   31   31    1         -schiene 1
   31   29    1
   31   27    1
   31   25    1
   31   23    1
   31   21    1
   31   19    1
   31   17    1
   31   15    1
   31   13    1
   31   11    1
   31    9    1
   31    7    1
   31    5    1
   31    3    1
   31    1    1
   15   23    2         -schine 2
   17   22    2
   19   21    2
   21   20    2
   23   19    2
   25   18    2
   27   17    2
   29   16    2
   31   15    2
   33   14    2
   35   13    2
   37   12    2
   39   11    2
   41   10    2
   43    9    2
   45    8    2
   -1   15    3         -schiene 3
    3   15    3
    7   15    3
   11   15    3
   15   15    3
   19   15    3
   23   15    3
   27   15    3
   31   15    3
   35   15    3
   39   15    3
   43   15    3
   47   15    3
   51   15    3
   55   15    3
   59   15    3
   17    8    4        -schiene 4
   19    9    4
   21   10    4
   23   11    4
   25   12    4
   27   13    4
   29   14    4
   31   15    4
   33   16    4
   35   17    4
   37   18    4
   39   19    4
   41   20    4
   43   21    4
   45   22    4
   47   23    4
   31    1    5         -schiene 5
   31    3    5
   31    5    5
   31    7    5
   31    9    5
   31   11    5
   31   13    5
   31   15    5
   31   17    5
   31   19    5
   31   21    5
   31   23    5
   31   25    5
   31   27    5
   31   29    5
   31   31    5
   45    8    6         -schiene 6
   43    9    6
   41   10    6
   39   11    6
   37   12    6
   35   13    6
   33   14    6
   31   15    6
   29   16    6
   27   17    6
   25   18    6
   23   19    6
   21   20    6
   19   21    6
   17   22    6
   15   23    6
   59   15    7         -schiene 7
   55   15    7
   51   15    7
   47   15    7
   43   15    7
   39   15    7
   35   15    7
   31   15    7
   27   15    7
   23   15    7
   19   15    7
   15   15    7
   11   15    7
    7   15    7
    3   15    7
   -1   15    7

