   11   11   11   11   11   11   11   11
   11   11   11   11   11   11   11   11
   11   11   11   11   11   11   11   11
   11   11   11   11   11   11   11   11
    5    3    6   11   10   10    8    3
    4    4   10    7    3    7    3   10
    7    5    7    8    7    8    8    7
    9    7    3    3   11    7   11    7
   11    7    8    7    8    6    6    8
    7    3    5    8    6   10    8    7
    7    9    8    7    7    7    8   10
    9    7    8   11   11   11   11    3 
   11    7    7    6    7    7    5    7
    7    3    5    7    4   11    8    7
    7    7    7    7    5    7    8   11
    7    7    6   11    3   11   11   11
   11   11   11   11   11   11   11   11
   11   11   11   11   10   11   11   11
   11   11   11   11   11   11   11   11
   11   11   11   11   11   11   11   11
   11   11   11    8   11   11   11   11
   11   11   11   11   11   11   11   11
    6    6   11   11   11   11   11   11
   11   11   11   11   11   11   11   11
    7    7    7   11    7   11   11    7
    6    6    6    6   11   11    7   11
   11   11   11   11    7   11    7   11
   11    7    7    7    7   11   11    7
    7    7    7   11    7   11   11    6
    7    7    7    7   11   11    7   11
   11   11   11   11    7   11    7   11
   11    7    7    7    7   11   11   11
