   32  434    0   62    0  512  {Strasse auf Sand}
   32  434   32   62    0  512
   32  434   64   62    0  512
   32  434   96   62    0  512
   32  434  128   62    0  512
   32  434  160   62    0  512
   32  434  192   62    0  512
   32  434  224   62    0  512
   32  434  256   62    0  512
   32  434  288   62    0  512
   32  434  320   62    0  512
   41  434  352   62    0    0
   23  434  393   62    0   41
   23  434  416   62    0   64
   41  434  439   62    0   87
   32  434    0   62    0  512  {Strasse auf Gras}
   32  434   32   62    0  512
   32  434   64   62    0  512
   32  434   96   62    0  512
   32  434  128   62    0  512
   32  434  160   62    0  512
   32  434  192   62    0  512
   32  434  480   62    0  512
   32  434  512   62    0  512
   32  434  544   62    0  512
   32  434  576   62    0  512
   41  434  352   62    0    0
   23  434  393   62    0   41
   23  434  416   62    0   64
   41  434  439   62    0   87
   32  434    0   62    0  512  {Strasse auf Sand-Gras-Übergang}
   32  434   32   62    0  512
   32  434   64   62    0  512
   32  434   96   62    0  512
   32  434  128   62    0  512
   32  434  160   62    0  512
   32  434  192   62    0  512
   32  434  480   62    0  512
   32  434  512   62    0  512
   32  434  544   62    0  512
   32  434  576   62    0  512
   41  434  352   62    0    0
   23  434  393   62    0   41
   23  434  416   62    0   64
   41  434  439   62    0   87
   32  682  384   62  682  352  {Brcken}
   32  682  480   62  682  448
   32  682  320   62  682  352
   32  682  416   62  682  448
   41  682  320   62  310  144  {Meerbrcken}
   32  682  361   62  310  185
   32  682  393   62  310  217
   41  682  425   62  310  384
   41  682  466   62  310  425
   41  682  507   62  310  466
